Transporte,destino_geocerca,hora_programada,paso_por_chillan
PFBS12,PLANTA_IDEAL_QUILICURA,01:00,NO
RFZY93,PLANTA_IDEAL_QUILICURA,02:00,NO
PSLY21,PLANTA_IDEAL_QUILICURA,11:00,NO
LTGY82,PLANTA_IDEAL_QUILICURA,09:00,NO
PGKD17,PLANTA_IDEAL_QUILICURA,09:00,NO
KBLZ47,PLANTA_IDEAL_QUILICURA,09:00,NO
RZHS98,PLANTA_IDEAL_QUILICURA,11:00,NO
LTGY85,PLANTA_IDEAL_QUILICURA,16:00,NO
PSLY22,PLANTA_IDEAL_QUILICURA,15:00,NO
LTGY87,PLANTA_IDEAL_QUILICURA,17:00,NO
PGBY32,PLANTA_IDEAL_QUILICURA,18:00,NO
