Transporte,Ruta,Semáforo,Última Actualización,Latitud,Longitud,Hora ETA
PJJV29,Fuera de zona,Fuera de zona,05-28 21:19,-20.260146,-69.77203,
SVLV52,Fuera de zona,Fuera de zona,05-28 21:27,-34.266233,-70.809493,
PZDJ66,Planta San Gabriel,En tránsito,05-28 21:26,-35.831589,-71.641019,
LXHJ99,Planta San Gabriel,En tránsito,05-28 21:18,-35.831328,-71.640713,
LZRG89,Fuera de zona,Fuera de zona,05-28 21:27,-23.639568,-70.395882,
PSLY21,Fuera de zona,Fuera de zona,05-28 21:27,-35.797303,-71.657403,00:41
PGBY32,CD IDEAL,En tránsito,05-28 21:28,-33.324004,-70.712835,21:30
RHDX20,Planta San Gabriel,En tránsito,05-28 21:24,-35.831378,-71.641015,
PFBS17,Planta San Gabriel,En tránsito,05-28 21:27,-35.831642,-71.640404,
LXHJ98,Fuera de zona,Fuera de zona,05-28 21:27,-24.234379,-70.094535,
PWZH34,Fuera de zona,Fuera de zona,05-28 21:27,-29.045399,-70.905343,
LTGY82,Fuera de zona,Fuera de zona,05-28 21:27,-35.641777,-71.697231,00:30
LTGY83,Fuera de zona,Fuera de zona,05-28 21:27,-39.540197,-72.869805,
KBLZ46,Fuera de zona,Fuera de zona,05-28 21:25,-36.489869,-72.026591,
SPVR14E,Fuera de zona,Sin señal,,,,
PSLY27,Fuera de zona,Fuera de zona,05-28 21:18,-35.841451,-71.636222,
JJWG93,Planta San Gabriel,En tránsito,05-28 21:22,-35.831687,-71.640727,
PFBS13,Fuera de zona,Fuera de zona,05-28 21:28,-39.288669,-72.554089,
RFZY94,Planta San Gabriel,En tránsito,05-28 21:19,-35.831452,-71.641006,
PFBS11,Fuera de zona,Sin señal,,,,
RFZY95,CMPC,En tránsito,05-28 21:19,-35.607582,-71.590647,
RFZY96,Planta San Gabriel,En tránsito,05-28 21:24,-35.831636,-71.64048,
PWZH32,Fuera de zona,Fuera de zona,05-28 21:27,-35.512008,-71.669212,
SSRT52,Planta San Gabriel,En tránsito,05-28 21:18,-35.831564,-71.64102,
JJWG66,CD IDEAL,En tránsito,05-28 21:23,-33.324192,-70.71214,
LCTB55,PLANTA_IDEAL_QUILICURA,En tránsito,05-28 21:27,-33.328098,-70.724498,
PFBS18,Planta San Gabriel,En tránsito,05-28 21:22,-35.831725,-71.640456,
RFZY97,Planta San Gabriel,En tránsito,05-28 21:27,-35.831164,-71.641782,
PJJV11,Fuera de zona,Fuera de zona,05-26 09:38,-36.651653,-72.228087,
RHDX19,Fuera de zona,Fuera de zona,05-28 21:27,-35.83162,-71.635091,
PJJV10,Fuera de zona,Fuera de zona,05-17 13:38,-35.417659,-71.63312,
PZDJ88,Fuera de zona,Sin señal,,,,
RFZY93,Fuera de zona,Fuera de zona,05-28 21:27,-34.920236,-71.163597,23:27
LTGY85,IDEAL_LA SERENA,En tránsito,05-28 21:20,-29.9662,-71.266545,02:28
PFBS12,Fuera de zona,Fuera de zona,05-28 21:27,-35.564325,-71.696736,00:25
PSLY20,Fuera de zona,Fuera de zona,05-28 21:28,-29.036362,-70.901783,
KBLZ47,Fuera de zona,Fuera de zona,05-26 02:21,-35.436044,-71.63752,00:16
RHDX18,Planta San Gabriel,En tránsito,05-28 21:26,-35.83206,-71.640592,
PCLZ42,Fuera de zona,Fuera de zona,05-28 21:25,-35.330906,-71.552331,
PSLY22,Fuera de zona,Fuera de zona,05-28 21:28,-33.804936,-70.748885,22:06
LTGY86,Fuera de zona,Fuera de zona,05-28 21:28,-36.454051,-71.987552,
PFBS16,Fuera de zona,Fuera de zona,05-28 21:28,-36.394368,-71.93019,
